name,category,playtime,playtime_num,avg_rating,num_ratings,min_players,,,,,,,,,
Citadels,Bluffing,"(30, 60]",60,7.10124,46905,2,,,,,Solo Supported,Solo Not Supported,,,
Dead of Winter: A Crossroads Game,Bluffing,>90,120,7.67747,37602,2,,,Number of Games in Category,Bluffing,0,47,,,
The Resistance,Bluffing,<=30,30,7.33418,34774,5,,,,Deduction,3,19,,,
Battlestar Galactica: The Board Game,Bluffing,>90,300,7.74082,32005,3,,,,Economic,23,65,,,
Coup,Bluffing,<=30,15,7.03729,33927,2,,,,Fighting,21,48,,,
Android: Netrunner,Bluffing,"(30, 60]",45,7.89668,26001,2,,,,Party Game,1,17,,,
A Game of Thrones: The Board Game (Second Edition),Bluffing,>90,240,7.6607,27362,3,,,Most Representative Game,Bluffing,N/A,Citadels,,,
Cosmic Encounter,Bluffing,>90,120,7.55528,26335,3,,,,Deduction,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Codenames,,,
Sheriff of Nottingham,Bluffing,"(30, 60]",60,7.21073,28017,3,,,,Economic,Agricola,Puerto Rico,,,
Shadows over Camelot,Bluffing,"(60, 90]",80,7.13334,24892,3,,,,Fighting,Arkham Horror,Small World,,,
BANG!,Bluffing,"(30, 60]",40,6.52314,25506,4,,,,Party Game,Jenga,Dixit,,,
The Resistance: Avalon,Bluffing,<=30,30,7.62483,25833,5,,,Average Category Game Rating,Bluffing,0.00,7.12,,,
Saboteur,Bluffing,<=30,30,6.60249,24198,3,,,,Deduction,7.84,7.28,,,
Star Wars: X-Wing Miniatures Game,Bluffing,"(30, 60]",45,7.75976,22459,2,,,,Economic,7.95,7.49,,,
Survive: Escape from Atlantis!,Bluffing,"(30, 60]",60,7.30851,19404,2,,,,Fighting,7.52,7.40,,,
One Night Ultimate Werewolf,Bluffing,<=30,10,7.21336,20142,3,,,,Party Game,5.58,6.54,,,
BANG! The Dice Game,Bluffing,<=30,15,6.99031,18715,3,,,Average Category Playtime,Bluffing,0.00,68.19,,,
Spyfall,Bluffing,<=30,15,6.9856,17441,3,,,,Deduction,110.00,55.89,,,
Clue,Bluffing,"(30, 60]",45,5.65866,16735,3,,,,Economic,126.52,105.92,,,
Diamant,Bluffing,<=30,30,6.83112,16269,3,,,,Fighting,113.33,103.75,,,
Stratego,Bluffing,"(30, 60]",45,6.07098,13254,2,,,,Party Game,20.00,36.18,,,
Wits & Wagers,Bluffing,<=30,25,6.94676,12917,3,,,shayden33,,,,,,
Letters from Whitechapel,Bluffing,"(30, 60]",60,7.43459,13173,2,,,,,,,,,
Secret Hitler,Bluffing,"(30, 60]",45,7.58786,16293,5,,,,,,,,,
Diplomacy,Bluffing,>90,360,7.05243,11810,2,,,,,,,,,
Liar's Dice,Bluffing,<=30,30,6.91821,12127,2,,,,,,,,,
Deception: Murder in Hong Kong,Bluffing,<=30,20,7.53145,14670,4,,,,,,,,,
Rising Sun,Bluffing,>90,120,8.00452,14439,3,,,,,,,,,
Ca$h 'n Guns (Second Edition),Bluffing,<=30,30,6.9594,12009,4,,,,,,,,,
A Game of Thrones (First Edition),Bluffing,>90,180,7.24611,10068,3,,,,,,,,,
Skull,Bluffing,"(30, 60]",45,7.17317,12818,3,,,,,,,,,
Ca$h 'n Gun$,Bluffing,<=30,30,6.60914,9649,4,,,,,,,,,
Welcome to the Dungeon,Bluffing,<=30,30,6.65729,11065,2,,,,,,,,,
The Werewolves of Miller's Hollow,Bluffing,<=30,30,6.78826,9472,8,,,,,,,,,
Poker,Bluffing,"(30, 60]",60,6.69174,8879,2,,,,,,,,,
Mascarade,Bluffing,<=30,30,6.65192,8852,2,,,,,,,,,
Condottiere,Bluffing,"(30, 60]",45,6.78654,8308,2,,,,,,,,,
Shadow Hunters,Bluffing,"(30, 60]",45,6.8327,7837,4,,,,,,,,,
Arboretum,Bluffing,<=30,30,7.41813,11523,2,,,,,,,,,
Taj Mahal,Bluffing,>90,100,7.3042,6958,3,,,,,,,,,
Mr. Jack Pocket,Bluffing,<=30,15,6.94803,7242,2,,,,,,,,,
Lord of the Rings: The Confrontation,Bluffing,<=30,30,7.20778,6433,2,,,,,,,,,
Tiny Epic Kingdoms,Bluffing,"(30, 60]",45,6.63359,6765,2,,,,,,,,,
Cockroach Poker,Bluffing,<=30,20,6.62477,7845,2,,,,,,,,,
Forbidden Stars,Bluffing,>90,180,7.98764,7110,2,,,,,,,,,
Dead of Winter: The Long Night,Bluffing,>90,120,7.76104,7271,2,,,,,,,,,
Not Alone,Bluffing,"(30, 60]",45,7.07762,7249,2,,,,,,,,,
Codenames,Deduction,<=30,15,7.71148,62563,2,,,,,,,,,
Love Letter,Deduction,<=30,20,7.25253,53131,2,,,,,,,,,
Hanabi,Deduction,<=30,25,7.1373,36775,2,,,,,,,,,
Mysterium,Deduction,"(30, 60]",42,7.39843,29442,2,,,,,,,,,
Alchemists,Deduction,>90,120,7.69764,17270,2,,,,,,,,,
Battle Line,Deduction,<=30,30,7.41564,15193,2,,,,,,,,,
Mr. Jack,Deduction,<=30,30,7.04544,14639,2,,,,,,,,,
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,Deduction,>90,120,7.80033,16023,1,,,,,,,,,
Codenames: Pictures,Deduction,<=30,15,7.34107,15752,2,,,,,,,,,
Scotland Yard,Deduction,"(30, 60]",45,6.50481,13713,3,,,,,,,,,
Concept,Deduction,"(30, 60]",40,6.88564,14303,4,,,,,,,,,
Captain Sonar,Deduction,"(30, 60]",60,7.63964,14985,2,,,,,,,,,
Tobago,Deduction,"(30, 60]",60,7.12657,10224,2,,,,,,,,,
Fury of Dracula (Second Edition),Deduction,>90,180,7.15042,8872,2,,,,,,,,,
The Mind,Deduction,<=30,15,7.03924,16329,2,,,,,,,,,
Fury of Dracula (third/fourth edition),Deduction,>90,180,7.5733,10561,2,,,,,,,,,
Codenames: Duet,Deduction,<=30,30,7.71535,11899,2,,,,,,,,,
Mystery of the Abbey,Deduction,"(60, 90]",90,6.54882,7560,3,,,,,,,,,
Exit: The Game â€“ The Abandoned Cabin,Deduction,>90,120,7.6676,7851,1,,,,,,,,,
Schotten Totten,Deduction,<=30,20,7.30702,6975,2,,,,,,,,,
Decrypto,Deduction,"(30, 60]",45,7.80797,9659,3,,,,,,,,,
Chronicles of Crime,Deduction,"(60, 90]",90,8.03759,11684,1,,,,,,,,,
Agricola,Economic,>90,150,7.98857,61557,1,,,,,,,,,
Puerto Rico,Economic,>90,150,8.0359,61157,3,,,,,,,,,
Power Grid,Economic,>90,120,7.89004,54420,2,,,,,,,,,
Splendor,Economic,<=30,30,7.47331,54445,2,,,,,,,,,
Race for the Galaxy,Economic,"(30, 60]",60,7.7624,44579,2,,,,,,,,,
Scythe,Economic,>90,115,8.2841,52513,1,,,,,,,,,
Terraforming Mars,Economic,>90,120,8.40331,57359,1,,,,,,,,,
Terra Mystica,Economic,>90,150,8.19293,37276,2,,,,,,,,,
Caylus,Economic,>90,150,7.81108,26174,2,,,,,,,,,
Tzolk'in: The Mayan Calendar,Economic,"(60, 90]",90,7.92748,28786,2,,,,,,,,,
Caverna: The Cave Farmers,Economic,>90,210,8.0693,26739,1,,,,,,,,,
Monopoly,Economic,>90,180,4.37636,26676,2,,,,,,,,,
Le Havre,Economic,>90,150,7.89077,25443,1,,,,,,,,,
Roll for the Galaxy,Economic,"(30, 60]",45,7.72867,24800,2,,,,,,,,,
San Juan,Economic,"(30, 60]",60,7.27255,21812,2,,,,,,,,,
Istanbul,Economic,"(30, 60]",60,7.60923,23680,2,,,,,,,,,
Concordia,Economic,>90,100,8.10536,25711,2,,,,,,,,,
For Sale,Economic,<=30,30,7.21659,22580,3,,,,,,,,,
Suburbia,Economic,"(60, 90]",90,7.56653,20870,1,,,,,,,,,
Viticulture Essential Edition,Economic,"(60, 90]",90,8.14362,25735,1,,,,,,,,,
Acquire,Economic,"(60, 90]",90,7.35261,17836,2,,,,,,,,,
Through the Ages: A Story of Civilization,Economic,>90,240,7.98974,17684,2,,,,,,,,,
Keyflower,Economic,>90,120,7.85182,18067,2,,,,,,,,,
Through the Ages: A New Story of Civilization,Economic,>90,120,8.53104,21053,2,,,,,,,,,
Isle of Skye: From Chieftain to King,Economic,"(30, 60]",50,7.45634,19015,2,,,,,,,,,
The Voyages of Marco Polo,Economic,>90,100,7.94038,18669,2,,,,,,,,,
Troyes,Economic,"(60, 90]",90,7.76293,17608,2,,,,,,,,,
The Pillars of the Earth,Economic,>90,120,7.30571,15943,2,,,,,,,,,
Brass: Lancashire,Economic,>90,120,8.12303,18149,2,,,,,,,,,
Modern Art,Economic,"(30, 60]",45,7.37034,15950,3,,,,,,,,,
Saint Petersburg,Economic,"(30, 60]",60,7.31269,14032,2,,,,,,,,,
Century: Spice Road,Economic,"(30, 60]",45,7.39227,16948,2,,,,,,,,,
Glory to Rome,Economic,"(30, 60]",60,7.49292,12710,2,,,,,,,,,
Dungeon Lords,Economic,"(60, 90]",90,7.41716,12623,2,,,,,,,,,
Shogun,Economic,>90,120,7.55495,12550,3,,,,,,,,,
Notre Dame,Economic,"(60, 90]",75,7.36577,11972,2,,,,,,,,,
A Feast for Odin,Economic,>90,120,8.18077,15434,1,,,,,,,,,
Goa,Economic,"(60, 90]",90,7.60498,10832,2,,,,,,,,,
Above and Below,Economic,"(60, 90]",90,7.50327,11997,2,,,,,,,,,
Nations,Economic,>90,200,7.67151,10862,1,,,,,,,,,
In the Year of the Dragon,Economic,>90,100,7.38305,10468,2,,,,,,,,,
Axis & Allies,Economic,>90,180,6.55886,10113,2,,,,,,,,,
Food Chain Magnate,Economic,>90,240,8.18414,12724,2,,,,,,,,,
Gaia Project,Economic,>90,150,8.53656,14283,1,,,,,,,,,
Steam,Economic,"(60, 90]",90,7.6248,9373,3,,,,,,,,,
Ora et Labora,Economic,>90,180,7.71547,9487,1,,,,,,,,,
Bruges,Economic,"(30, 60]",60,7.45063,9855,2,,,,,,,,,
Clans of Caledonia,Economic,>90,120,8.05595,13184,1,,,,,,,,,
Mombasa,Economic,>90,150,7.92164,10357,2,,,,,,,,,
At the Gates of Loyang,Economic,>90,120,7.38538,9302,1,,,,,,,,,
Grand Austria Hotel,Economic,>90,120,7.77435,11021,2,,,,,,,,,
The Manhattan Project,Economic,>90,120,7.41617,8902,2,,,,,,,,,
Viticulture,Economic,"(60, 90]",90,7.64826,9633,2,,,,,,,,,
Last Will,Economic,"(60, 90]",75,7.21237,8762,2,,,,,,,,,
Amun-Re,Economic,"(60, 90]",90,7.33098,8435,3,,,,,,,,,
Glen More,Economic,"(60, 90]",70,7.33712,8506,2,,,,,,,,,
Charterstone,Economic,"(60, 90]",75,7.65893,10717,1,,,,,,,,,
Imperial,Economic,>90,180,7.61704,8147,2,,,,,,,,,
Glass Road,Economic,"(60, 90]",80,7.45911,8681,1,,,,,,,,,
Jambo,Economic,"(30, 60]",45,7.02922,7877,2,,,,,,,,,
Vikings,Economic,"(30, 60]",60,7.26584,7827,2,,,,,,,,,
Cuba,Economic,>90,120,7.15796,7769,2,,,,,,,,,
Pit,Economic,"(60, 90]",90,6.39326,8042,3,,,,,,,,,
Yspahan,Economic,"(30, 60]",60,7.10018,7632,2,,,,,,,,,
Age of Steam,Economic,>90,120,7.69597,8430,1,,,,,,,,,
Navegador,Economic,"(60, 90]",90,7.56269,7812,2,,,,,,,,,
Monopoly Deal Card Game,Economic,<=30,15,6.26259,8169,2,,,,,,,,,
Anachrony,Economic,>90,120,8.13322,10136,1,,,,,,,,,
Chinatown,Economic,"(30, 60]",60,7.2674,8000,3,,,,,,,,,
Chicago Express,Economic,"(30, 60]",60,7.2293,7243,2,,,,,,,,,
La Granja,Economic,>90,120,7.71128,8110,1,,,,,,,,,
The Gallerist,Economic,>90,150,8.01737,8927,1,,,,,,,,,
Civilization,Economic,>90,360,7.51239,7007,2,,,,,,,,,
Twilight Imperium (Fourth Edition),Economic,>90,480,8.72044,11474,3,,,,,,,,,
Oh My Goods!,Economic,<=30,30,7.01281,8518,2,,,,,,,,,
Archipelago,Economic,>90,240,7.37949,7113,2,,,,,,,,,
Cacao,Economic,"(30, 60]",45,7.12189,7585,2,,,,,,,,,
Carson City,Economic,"(60, 90]",90,7.27078,6632,2,,,,,,,,,
Airlines Europe,Economic,"(60, 90]",75,7.3284,6681,2,,,,,,,,,
Finca,Economic,"(30, 60]",45,7.06826,6650,2,,,,,,,,,
Rococo,Economic,>90,120,7.57887,7181,2,,,,,,,,,
Dinosaur Island,Economic,>90,120,7.88547,9998,1,,,,,,,,,
Yokohama,Economic,"(60, 90]",90,7.91106,7951,2,,,,,,,,,
Wingspan,Economic,"(60, 90]",70,8.09865,32761,1,,,,,,,,,
Fields of Arle,Economic,>90,120,8.13588,7415,1,,,,,,,,,
Brass: Birmingham,Economic,>90,120,8.60949,14551,2,,,,,,,,,
Rajas of the Ganges,Economic,"(60, 90]",75,7.69465,7731,2,,,,,,,,,
Agricola (Revised Edition),Economic,>90,120,8.12485,7982,1,,,,,,,,,
Small World,Fighting,"(60, 90]",80,7.29949,59211,2,,,,,,,,,
King of Tokyo,Fighting,<=30,30,7.23048,54881,2,,,,,,,,,
Munchkin,Fighting,>90,120,5.92127,39939,3,,,,,,,,,
Arkham Horror,Fighting,>90,360,7.29157,36102,1,,,,,,,,,
Star Realms,Fighting,<=30,20,7.60884,33898,2,,,,,,,,,
Magic: The Gathering,Fighting,<=30,20,7.47773,31086,2,,,,,,,,,
Robinson Crusoe: Adventures on the Cursed Island,Fighting,>90,120,7.90738,31773,1,,,,,,,,,
Blood Rage,Fighting,"(60, 90]",90,8.03108,31455,2,,,,,,,,,
Gloomhaven,Fighting,>90,120,8.89906,37075,1,,,,,,,,,
Eclipse,Fighting,>90,180,7.94262,25542,2,,,,,,,,,
Eldritch Horror,Fighting,>90,240,7.85804,27732,1,,,,,,,,,
Mage Knight Board Game,Fighting,>90,240,8.10663,26609,1,,,,,,,,,
Elder Sign,Fighting,"(60, 90]",90,7.00506,21321,1,,,,,,,,,
Descent: Journeys in the Dark (Second Edition),Fighting,>90,120,7.73127,21853,2,,,,,,,,,
Colt Express,Fighting,"(30, 60]",40,7.16312,22886,2,,,,,,,,,
Ghost Stories,Fighting,"(30, 60]",60,7.35201,18848,1,,,,,,,,,
Star Wars: Imperial Assault,Fighting,>90,120,8.0778,19391,2,,,,,,,,,
Star Wars: Rebellion,Fighting,>90,240,8.44551,21095,2,,,,,,,,,
Mansions of Madness: Second Edition,Fighting,>90,180,8.15362,22562,1,,,,,,,,,
Cyclades,Fighting,"(60, 90]",90,7.5237,17126,2,,,,,,,,,
Mice and Mystics,Fighting,"(60, 90]",90,7.37141,16009,1,,,,,,,,,
Zombies!!!,Fighting,"(60, 90]",90,5.8306,14176,2,,,,,,,,,
Sentinels of the Multiverse,Fighting,"(30, 60]",60,7.27321,14307,2,,,,,,,,,
Chaos in the Old World,Fighting,>90,120,7.67316,13966,3,,,,,,,,,
Friday,Fighting,<=30,25,7.19434,15356,1,,,,,,,,,
Kemet,Fighting,>90,120,7.75018,15473,2,,,,,,,,,
Last Night on Earth: The Zombie Game,Fighting,"(60, 90]",90,6.96853,13389,2,,,,,,,,,
Castle Panic,Fighting,"(30, 60]",60,6.67413,13818,1,,,,,,,,,
Quarriors!,Fighting,<=30,30,6.78099,12941,2,,,,,,,,,
Mansions of Madness,Fighting,>90,180,7.33163,12513,2,,,,,,,,,
Neuroshima Hex! 3.0,Fighting,<=30,30,7.41835,12870,1,,,,,,,,,
King of New York,Fighting,"(30, 60]",40,7.02216,13485,2,,,,,,,,,
Legends of Andor,Fighting,"(60, 90]",90,7.24574,13913,2,,,,,,,,,
Talisman (Revised 4th Edition),Fighting,"(60, 90]",90,6.53718,12642,2,,,,,,,,,
Merchants & Marauders,Fighting,>90,180,7.43596,12345,2,,,,,,,,,
Space Hulk: Death Angel â€“ The Card Game,Fighting,"(30, 60]",60,6.99383,11877,1,,,,,,,,,
Pathfinder Adventure Card Game: Rise of the Runelords â€“ Base Set,Fighting,"(60, 90]",90,7.27195,11763,1,,,,,,,,,
Mechs vs. Minions,Fighting,"(60, 90]",90,8.12782,13204,2,,,,,,,,,
Descent: Journeys in the Dark,Fighting,>90,240,7.3143,11190,2,,,,,,,,,
Evolution,Fighting,"(30, 60]",60,7.19797,12787,2,,,,,,,,,
Spirit Island,Fighting,>90,120,8.37052,20755,1,,,,,,,,,
War of the Ring (Second Edition),Fighting,>90,180,8.42735,12442,2,,,,,,,,,
Summoner Wars: Master Set,Fighting,"(30, 60]",60,7.55392,10193,2,,,,,,,,,
HeroQuest,Fighting,"(60, 90]",90,7.10206,10553,2,,,,,,,,,
Thunderstone,Fighting,"(30, 60]",60,6.96987,9951,1,,,,,,,,,
Zombicide: Black Plague,Fighting,>90,180,7.73977,11801,1,,,,,,,,,
Blood Bowl: Team Manager â€“ The Card Game,Fighting,"(60, 90]",90,7.3746,10081,2,,,,,,,,,
Legendary Encounters: An Alien Deck Building Game,Fighting,"(30, 60]",60,7.79776,10639,1,,,,,,,,,
Champions of Midgard,Fighting,"(60, 90]",90,7.79091,12069,2,,,,,,,,,
Small World Underground,Fighting,"(60, 90]",90,7.29991,9446,2,,,,,,,,,
Nexus Ops,Fighting,"(60, 90]",90,7.22964,8359,2,,,,,,,,,
Hero Realms,Fighting,<=30,30,7.68437,10986,2,,,,,,,,,
Dungeons & Dragons: Castle Ravenloft Board Game,Fighting,"(30, 60]",60,6.97768,8239,1,,,,,,,,,
Arcadia Quest,Fighting,"(30, 60]",60,7.81647,8790,2,,,,,,,,,
Pirate's Cove,Fighting,"(60, 90]",90,6.58053,7861,3,,,,,,,,,
Runebound (Second Edition),Fighting,>90,240,6.88913,7648,2,,,,,,,,,
Heroscape Master Set: Rise of the Valkyrie,Fighting,"(60, 90]",90,7.42948,7681,2,,,,,,,,,
Runewars,Fighting,>90,240,7.66713,7614,2,,,,,,,,,
Mage Wars Arena,Fighting,"(60, 90]",90,7.68354,7226,2,,,,,,,,,
Dungeon Roll,Fighting,<=30,15,6.14269,7273,1,,,,,,,,,
StarCraft: The Board Game,Fighting,>90,240,7.337,6937,2,,,,,,,,,
Space Hulk (third edition),Fighting,"(30, 60]",60,7.53902,6613,2,,,,,,,,,
Claustrophobia,Fighting,"(30, 60]",45,7.54728,6538,2,,,,,,,,,
Flick 'em Up!,Fighting,"(30, 60]",45,7.02921,7258,2,,,,,,,,,
Spartacus: A Game of Blood & Treachery,Fighting,>90,180,7.46593,6879,3,,,,,,,,,
Raptor,Fighting,<=30,25,7.40593,7236,2,,,,,,,,,
KeyForge: Call of the Archons,Fighting,"(30, 60]",45,7.65602,8526,2,,,,,,,,,
Xia: Legends of a Drift System,Fighting,>90,180,7.84598,6853,3,,,,,,,,,
The Lord of the Rings: Journeys in Middle-earth,Fighting,>90,120,8.401,6688,1,,,,,,,,,
Dixit,Party Game,<=30,30,7.29405,47812,3,,,,,,,,,
Cards Against Humanity,Party Game,<=30,30,6.02013,22147,4,,,,,,,,,
Apples to Apples,Party Game,<=30,30,5.85811,17184,4,,,,,,,,,
Zombie Dice,Party Game,<=30,20,6.21825,15634,2,,,,,,,,,
Sushi Go Party!,Party Game,<=30,20,7.51717,19687,2,,,,,,,,,
Dixit: Odyssey,Party Game,<=30,30,7.48416,15671,3,,,,,,,,,
Telestrations,Party Game,<=30,30,7.41051,11893,4,,,,,,,,,
Jungle Speed,Party Game,<=30,10,6.53659,10833,2,,,,,,,,,
Jenga,Party Game,<=30,20,5.58245,10913,1,,,,,,,,,
Taboo,Party Game,<=30,20,6.28354,9974,4,,,,,,,,,
Cranium,Party Game,"(30, 60]",60,5.68705,8318,4,,,,,,,,,
Once Upon a Time: The Storytelling Card Game,Party Game,<=30,30,6.44138,7878,2,,,,,,,,,
Scattergories,Party Game,<=30,30,6.15963,8092,2,,,,,,,,,
Trivial Pursuit: Genus Edition,Party Game,"(60, 90]",90,5.20655,7272,2,,,,,,,,,
Deep Sea Adventure,Party Game,<=30,30,7.08438,9578,2,,,,,,,,,
The Red Dragon Inn,Party Game,"(30, 60]",45,6.57217,6834,2,,,,,,,,,
Pictionary,Party Game,"(60, 90]",90,5.81643,6615,3,,,,,,,,,
Just One,Party Game,<=30,20,7.57741,8979,3,,,,,,,,,
